name,latitude,longitude,line
Novza,41.2918722,69.2236165,Chilonzor Line
Xalqlar doʻstligi,41.3118987,69.2430959,Chilonzor Line
Mirzo Ulugʻbek,41.2820342,69.2125834,Chilonzor Line
Chilonzor,41.274359,69.2049735,Chilonzor Line
Milliy bogʻ,41.3033944,69.2356663,Chilonzor Line
G'afur G'ulom,41.3278828,69.2458342,O'zbekiston Line
Chorsu,41.3258649,69.2368152,O'zbekiston Line
Oybek,41.2980128,69.2740501,O'zbekiston Line
Mingoʻrik,41.299661,69.2744102,Yunusobod Line
Toshkent,41.2932886,69.2877212,O'zbekiston Line
Beruniy,41.3446152,69.2062046,O'zbekiston Line
Shahriston,41.3531185,69.2881069,Yunusobod Line
Mashinasozlar,41.2989847,69.3051276,O'zbekiston Line
Tinchlik,41.3323014,69.2191155,O'zbekiston Line
Abdulla Qodiriy,41.3201924,69.281759,Yunusobod Line
Minor,41.3268923,69.2834163,Yunusobod Line
Bodomzor,41.3371701,69.2845697,Yunusobod Line
Hamid Olimjon,41.3181644,69.2957419,Chilonzor Line
Kosmonavtlar,41.3051618,69.2647207,O'zbekiston Line
Buyuk Ipak Yoʻli,41.3261054,69.3285598,Chilonzor Line
Pushkin,41.3219481,69.311102,Chilonzor Line
Amir Temur xiyoboni,41.3126738,69.2832691,Chilonzor Line
Yunus Rajabiy,41.3138871,69.2835077,Yunusobod Line
Alisher Navoiy,41.3189218,69.2542973,O'zbekiston Line
Paxtakor,41.3177914,69.2550882,Other
Oʻzbekiston,41.3119437,69.2534057,O'zbekiston Line
Olmazor,41.2566724,69.1961045,Chilonzor Line
Do'stlik,41.2936401,69.3222445,O'zbekiston Line
Mustaqillik maydoni,41.3149453,69.2710646,Chilonzor Line
Yunusobod,41.3668411,69.2923003,Yunusobod Line
Turkiston,41.3775217,69.2960151,Yunusobod Line
Olmos,41.281705,69.3603338,Ring Line (Yellow)
Texnopark,41.294628,69.3231867,Ring Line (Yellow)
Yashnobod,41.2975859,69.3497831,Ring Line (Yellow)
Tuzel,41.2920125,69.3561844,Ring Line (Yellow)
Rohat,41.2652907,69.3647517,Ring Line (Yellow)
Yangiobod,41.2565075,69.3587242,Ring Line (Yellow)
Qo‘yliq,41.2374579,69.3270001,Ring Line (Yellow)
Matonat,41.2444713,69.3083229,Ring Line (Yellow)
Qiyot,41.2444796,69.299728,Ring Line (Yellow)
Choshtepa,41.2382496,69.1960345,Chilonzor Line
O‘zgarish,41.2273364,69.2039714,Chilonzor Line
Yangihayot,41.2135099,69.214015,Chilonzor Line
Chinor,41.2066965,69.2189575,Chilonzor Line
Tolarik,41.2445139,69.2849568,Ring Line (Yellow)
Xonobod,41.2300103,69.2704353,Ring Line (Yellow)
Quruvchilar,41.2216367,69.2605033,Ring Line (Yellow)
Qipchok,41.2054229,69.2214112,Ring Line (Yellow)
Turon,41.2106813,69.234154,Ring Line (Yellow)
